x,p
545,1.9284
546,1.9284
547,1.9284
548,1.9284
549,1.9284
550,1.9284
551,1.9284
552,1.9284
553,1.9284
554,1.9284
555,1.9284
556,1.9284
557,1.9284
558,1.9284
559,1.9284
560,1.9284
561,1.9284
562,1.9284
563,1.9284
564,1.9284
565,1.9284
566,1.9284
567,1.9284
568,1.9284
569,1.9284
570,1.9284
571,1.9284
572,1.9284
573,1.9284
574,1.9284
575,1.9284
576,1.9284
577,1.9284
578,1.9284
579,1.9284
580,1.9284
581,1.9284
582,1.9284
583,1.9284
584,1.9284
585,1.9284
586,1.9284
587,1.9284
588,1.9284
589,1.9284
590,1.9284
591,1.9284
592,1.9284
593,1.9284
594,1.9284
595,1.9284
596,1.9284
597,1.9284
598,1.9284
599,1.9284
600,1.9284
601,1.9284
602,1.9284
603,1.9284
604,1.9284
605,1.9284
606,1.9284
607,1.9284
608,1.9284
609,1.9284
610,1.9284
611,1.9284
612,1.9284
613,1.9284
614,1.9284
615,1.9284
616,1.9284
617,1.9284
618,1.9284
619,1.9284
620,1.9284
621,1.9284
622,1.9284
623,1.9284
624,1.9284
625,1.9284
626,1.9284
627,1.9284
628,1.9284
629,1.9284
630,1.9284
631,1.9284
632,1.9284
633,1.9284
634,1.9284
635,1.9284
636,1.9284
637,1.9284
638,1.9284
639,1.9284
640,1.9284
641,1.9284
642,1.9284
643,1.9284
644,1.9284
645,1.9284
646,1.9284
647,1.9284
648,1.9284
649,1.9284
650,1.9284
651,1.9284
652,1.9284
653,1.9284
654,1.9284
655,1.9284
656,1.9284
657,1.9284
658,1.9284
659,1.9284
660,1.9284
661,1.9284
662,1.9284
663,1.9284
664,1.9284
665,1.9284
666,1.9284
667,1.9284
668,1.9284
669,1.9284
670,1.9284
671,1.9284
672,1.9284
673,1.9284
674,1.9284
675,1.9284
676,1.9284
677,1.9284
678,1.9284
679,1.9284
680,1.9284
681,1.9284
682,1.9284
683,1.9284
684,1.9284
685,1.9284
686,1.9284
687,1.9284
688,1.9284
689,1.9284
690,1.9284
691,1.9284
692,1.9284
693,1.9284
694,1.9284
695,1.9284
696,1.9284
697,1.9284
698,1.9284
699,1.9284
700,1.9284
701,1.9284
702,1.9284
703,1.9284
704,1.9284
705,1.9284
706,1.9284
707,1.9284
708,1.9284
709,1.9284
710,1.9284
711,1.9284
712,1.9284
713,1.9284
714,1.9284
715,1.9284
716,1.9284
717,1.9284
718,1.9284
719,1.9284
720,1.9284
721,1.9284
722,1.9284
723,1.9284
724,1.9284
725,1.9284
726,1.9284
727,1.9284
728,1.9284
729,1.9284
730,1.9284
731,1.9284
732,1.9284
733,1.9284
734,1.9284
735,1.9284
736,1.9284
737,1.9284
738,1.9284
739,1.9284
740,1.9284
741,1.9284
742,1.9284
743,1.9284
744,1.9284
745,1.9284
746,1.9284
747,1.9284
748,1.9284
749,1.9284
750,1.9284
751,1.9284
752,1.9284
753,1.9284
754,1.9284
755,1.9284
756,1.9284
757,1.9284
758,1.9284
759,1.9284
760,1.9284
761,1.9284
762,1.9284
763,1.9284
764,1.9284
765,1.9284
766,1.9284
767,1.9284
768,1.9284
769,1.9284
770,1.9284
771,1.9284
772,1.9284
773,1.9284
774,1.9284
775,1.9284
776,1.9284
777,1.9284
778,1.9284
779,1.9284
780,1.9284
781,1.9284
782,1.9284
783,1.9284
784,1.9284
785,1.9284
786,1.9284
787,1.9284
788,1.9284
789,1.9284
790,1.9284
791,1.9284
792,1.9284
793,1.9284
794,1.9284
795,1.9284
796,1.9284
797,1.9284
798,1.9284
799,1.9284
800,1.9284
801,1.9284
802,1.9284
803,1.9284
804,1.9284
805,1.9284
806,1.9284
807,1.9284
808,1.9284
809,1.9284
810,1.9284
811,1.9284
812,1.9284
813,1.9284
814,1.9284
815,1.9284
816,1.9284
817,1.9284
818,1.9284
819,1.9284
820,1.9284
821,1.9284
822,1.9284
823,1.9284
824,1.9284
825,1.9284
826,1.9284
827,1.9284
828,1.9284
829,1.9284
830,1.9284
831,1.9284
832,1.9284
833,1.9284
834,1.9284
835,1.9284
836,1.9284
837,1.9284
838,1.9284
839,1.9284
840,1.9284
841,1.9284
842,1.9284
843,1.9284
844,1.9284
845,1.9284
846,1.9284
847,1.9284
848,1.9284
849,1.9284
850,1.9284
851,1.9284
852,1.9284
853,1.9284
854,1.9284
855,1.9284
856,1.9284
857,1.9284
858,1.9284
859,1.9284
860,1.9284
861,1.9284
862,1.9284
863,1.9284
864,1.9284
865,1.9284
866,1.9284
867,1.9284
868,1.9284
869,1.9284
870,1.9284
871,1.9284
872,1.9284
873,1.9284
874,1.9284
875,1.9284
876,1.9284
877,1.9284
878,1.9284
879,1.9284
880,1.9284
881,1.9284
882,1.9284
883,1.9284
884,1.9284
885,1.9284
886,1.9284
887,1.9284
888,1.9284
889,1.9284
890,1.9284
891,1.9284
892,1.9284
893,1.9284
894,1.9284
895,1.9284
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
